CodigoAbastecimento;CodigoPostoAbastecimento;CodigoFerrovia;DataReferencia;LitrosManobra;LitrosViagem;LitrosOutro
459;28;8;01/03/2011 00:00:00;750;287820;922
460;35;8;01/03/2011 00:00:00;2062;791061;2585
461;32;8;01/03/2011 00:00:00;57;21871;307
462;29;8;01/03/2011 00:00:00;1401;537552;275
470;2;3;01/03/2011 00:00:00;14098;1303475;46315
471;3;3;01/03/2011 00:00:00;14645;1354052;14183
472;8;3;01/03/2011 00:00:00;0;0;0
473;10;3;01/03/2011 00:00:00;0;0;0
474;1;3;01/03/2011 00:00:00;133564;12349056;0
475;7;3;01/03/2011 00:00:00;0;0;0
476;11;4;01/03/2011 00:00:00;247501;13277163;15950
477;12;4;01/03/2011 00:00:00;0;0;27542
478;13;4;01/03/2011 00:00:00;0;0;0
479;17;4;01/03/2011 00:00:00;0;0;53703
480;14;4;01/03/2011 00:00:00;0;4561103;0
481;18;4;01/03/2011 00:00:00;0;287339;0
482;16;4;01/03/2011 00:00:00;0;131385;0
483;36;12;01/03/2011 00:00:00;11;1574;0
484;72;10;01/03/2011 00:00:00;6705;113130;1266
485;20;8;01/12/2010 00:00:00;0;0;0
486;8;3;01/12/2010 00:00:00;0;0;0
487;10;3;01/12/2010 00:00:00;0;0;0
488;7;3;01/12/2010 00:00:00;0;0;0
489;8;3;01/01/2011 00:00:00;0;0;0
490;10;3;01/01/2011 00:00:00;0;0;0
491;7;3;01/01/2011 00:00:00;0;0;0
492;16;4;01/12/2010 00:00:00;0;0;0
493;1;3;01/11/2010 00:00:00;152460;13707525;0
494;2;3;01/11/2010 00:00:00;17031;1531260;0
495;3;3;01/11/2010 00:00:00;15147;1361871;0
496;8;3;01/11/2010 00:00:00;0;0;0
497;10;3;01/11/2010 00:00:00;0;0;0
498;7;3;01/11/2010 00:00:00;0;0;0
500;37;1;01/03/2011 00:00:00;0;127040;0
501;87;1;01/03/2011 00:00:00;0;125944;0
502;89;1;01/03/2011 00:00:00;0;45000;0
503;45;1;01/03/2011 00:00:00;0;25760;0
504;38;1;01/03/2011 00:00:00;0;395014;0
505;48;1;01/03/2011 00:00:00;0;327463;0
506;39;1;01/03/2011 00:00:00;0;4903217;0
507;40;1;01/03/2011 00:00:00;0;50947;0
508;91;1;01/03/2011 00:00:00;0;46400;0
509;42;1;01/03/2011 00:00:00;0;228984;0
510;94;1;01/03/2011 00:00:00;0;8300;0
511;41;1;01/03/2011 00:00:00;0;73500;0
