CodigoDesempenhoLocomotiva;CodigoFerrovia;CodigoModeloLocomotiva;DataReferencia;NumeroConsumoCombustivel;NumeroImobilizacaoOficinaPropria;NumeroImobilizacaoOficinaTerceiros;NumeroImobilizacaoMorta;NumeroDisponivelNaoUtilizadoPropria;NumeroDisponivelNaoUtilizadoTerceiros;NumeroUtilizacaoPropria;NumeroUtilizacaoTerceiros;NumeroUtilizacaoServicoInterno;NumeroTKBTracionada;NumeroTKUTracionada;NumeroDistanciaPercorrida
9022;11;149;01/10/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9023;11;149;01/11/2008 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9024;11;149;01/12/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9025;11;149;01/01/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9026;11;149;01/02/2009 00:00:00;0;2016,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9027;11;149;01/03/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9028;11;149;01/04/2009 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9029;11;149;01/05/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9030;11;149;01/06/2009 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9031;11;149;01/07/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9032;11;149;01/08/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9033;11;149;01/09/2009 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9034;11;149;01/10/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9035;11;149;01/11/2009 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9036;11;149;01/12/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9037;11;149;01/01/2010 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9038;11;149;01/02/2010 00:00:00;0;2016,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9039;11;149;01/03/2010 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9040;11;149;01/04/2010 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9041;11;149;01/05/2010 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9042;11;149;01/06/2010 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9043;11;149;01/07/2010 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
9044;2;150;01/05/2007 00:00:00;522560;5838,5;0,0;0,0;17225,5;0,0;9185,1;0,0;813,6;74539677.0;31559006.0;143352
9045;2;150;01/01/2006 00:00:00;465750;5089,9;0,0;0,0;17974,1;0,0;9287,2;0,0;1242,9;65722018.0;30558432.0;127927
9046;2;150;01/02/2006 00:00:00;345073;4305,9;0,0;0,0;16526,1;0,0;7241,2;0,0;2328,6;59327082.0;22472568.0;119348
9047;2;150;01/03/2006 00:00:00;420958;3958,9;0,0;0,0;19105,1;0,0;7160,1;0,0;2459,9;60789009.0;26950812.0;113241
9048;2;150;01/04/2006 00:00:00;356017;4462,1;0,0;0,0;17857,9;0,0;6663,3;0,0;1774,8;51387470.0;21991380.0;100585
9049;2;150;01/05/2006 00:00:00;382715;4258,5;0,0;0,0;18805,5;0,0;8097,6;0,0;1669,1;50568568.0;22647587.0;98987
9050;2;150;01/06/2006 00:00:00;325442;5304,0;0,0;0,0;17016,0;0,0;6154,4;0,0;1210,7;47236921.0;23555855.0;88564
9051;2;150;01/07/2006 00:00:00;339911;4920,5;0,0;0,0;18143,6;0,0;6227,5;0,0;988,7;55356354.0;21736970.0;88923
9052;2;150;01/08/2006 00:00:00;374687;5188,1;0,0;0,0;17875,9;0,0;7107,4;0,0;1118,0;59550960.0;27454093.0;112305
9053;2;150;01/09/2006 00:00:00;335014;5228,4;0,0;0,0;17091,6;0,0;6446,9;0,0;613,2;53556925.0;24055408.0;100335
9054;2;150;01/10/2006 00:00:00;366915;4403,4;0,0;0,0;18660,6;0,0;6596,8;0,0;853,2;58600742.0;26263921.0;104061
9055;2;150;01/11/2006 00:00:00;388823;4792,1;0,0;0,0;17527,9;0,0;7468,0;0,0;647,2;59358598.0;27407551.0;117421
9056;2;150;01/12/2006 00:00:00;332809;4006,0;0,0;0,0;19058,0;0,0;5733,6;0,0;880,2;48932535.0;21523520.0;94279
9057;2;150;01/01/2007 00:00:00;434741;3976,9;0,0;0,0;19087,1;0,0;8057,1;0,0;907,8;63698327.0;31781751.0;124309
9058;2;150;01/02/2007 00:00:00;374160;4434,3;0,0;0,0;16397,7;0,0;7118,3;0,0;704,0;50770469.0;23489180.0;106711
9059;2;150;01/03/2007 00:00:00;468984;4414,7;0,0;0,0;18649,3;0,0;8647,8;0,0;1084,2;61942304.0;27169345.0;129854
