CodigoAbastecimentoFerrovia;CodigoAbastecimento;CodigoFerrovia;Litros
3121;10160;1;0
3122;10161;5;0
3123;10161;1;0
3124;10162;7;103901
3125;10163;7;5170140
3126;10164;7;2886870
3127;10165;7;750189
3128;10166;5;1840916
3129;10184;12;0
3130;10208;9;18688
3131;10211;9;29700
3132;10233;1;7000
3133;10234;1;42998
3134;10235;1;1110375
3135;10236;5;0
3136;10236;1;0
3137;10237;5;0
3138;10237;1;0
3139;10238;7;62666
3140;10239;7;4547434
3141;10240;7;2653886
3142;10241;7;874441
3143;10242;5;1766826
3144;10253;4;0
3145;10260;4;0
3146;10260;11;0
3147;10260;5;0
3148;10260;1;0
3149;10267;4;0
3150;10267;11;0
3151;10278;12;0
3152;10307;9;28189
3153;10310;9;29800
3154;10321;1;13000
3155;10322;1;50830
3156;10323;1;1122441
3157;10324;5;1174546
3158;10325;7;123897
3159;10326;7;3243397
3160;10327;7;1437196
3161;10328;9;2613
3162;10328;7;829874
3163;10329;5;0
3164;10329;1;0
3165;10342;9;0
3166;10342;5;0
3167;10359;4;0
3168;10366;4;0
3169;10366;11;0
3170;10366;5;0
3171;10366;1;0
3172;10373;4;0
3173;10373;11;0
3174;10375;12;0
3175;10404;5;1762373
3176;10405;1;10000
3177;10406;1;45125
3178;10407;1;1064453
3179;10413;9;8907
3180;10417;9;29070
3181;10439;7;142865
3182;10440;7;4952819
3183;10441;7;2181550
3184;10442;7;424600
3185;10452;4;0
3186;10459;4;0
3187;10459;11;0
3188;10459;5;0
3189;10459;1;0
3190;10466;4;0
3191;10466;11;0
3192;10482;12;0
3193;10505;1;10000
3194;10506;1;65716
3195;10507;1;994227
3196;10512;9;20061
3197;10516;9;46030
3198;10538;7;82445
3199;10539;7;5757472
3200;10540;7;2916961
3201;10541;7;546047
3202;10542;5;1385783
3203;10559;4;0
3204;10566;4;0
3205;10566;11;0
3206;10566;5;0
3207;10566;1;0
3208;10573;4;0
3209;10573;11;0
3210;10584;12;0
3211;10607;9;6451
3212;10611;9;17950
3213;10633;1;6000
3214;10634;1;49917
3215;10635;1;770703
3216;10638;7;4000
3217;10639;7;5201791
3218;10640;7;3242706
3219;10641;7;688154
3220;10642;5;1031741
3221;10659;4;0
3222;10666;4;0
3223;10666;11;0
3224;10666;5;0
3225;10666;1;0
3226;10673;4;0
3227;10673;11;0
3228;10677;12;0
3229;10707;9;26061
3230;10710;9;35310
3231;10732;9;0
3232;10732;5;0
3233;10735;1;59331
3234;10736;1;485596
3235;10737;5;0
3236;10737;1;0
3237;10738;7;202066
3238;10739;7;4915098
3239;10740;7;2424261
3240;10741;7;656025
3241;10742;5;990578
3242;10752;4;0
3243;10759;4;0
